Retail Pharmacy Partner Name,Address 1,City,County,State,Zip Code,Vaccine,Date,Doses,Georeferenced Latitude & Longitude
Rite Aid 04965,201 Grace Street,Pittsburgh,Allegheny,PA,15211,Janssen Vaccine,10/26/2021,100,
Rite Aid 02277,1799 Third Street,Beaver,Beaver,PA,15009,Moderna Vaccine,08/24/2021,280,
Sav-on Pharmacy,567 Sproul Rd,Broomall,Delaware,PA,19008,Pfizer Vaccine,08/31/2021,1170,
Cvs Store #01640,"4686 Rte 209, Lykens Valley S/c",Elizabethville,Dauphin,PA,17023,Pfizer Vaccine,06/08/2021,1170,
Weis Markets Inc,801 Loyalsock Ave,Montoursville,Lycoming,PA,17754,Moderna,01/18/2021,100,
Rite Aid 12999,301 Eisenhower Drive,Hanover,York,PA,17331,Moderna Vaccine,06/22/2021,280,POINT (-76.98797 39.825231)
Wegmans Food Markets Inc.,3900 Tilghman Street,Allentown,Lehigh,PA,18104,Moderna Vaccine,04/27/2021,100,
Rite Aid 02277,1799 Third Street,Beaver,Beaver,PA,15009,Moderna Vaccine,06/29/2021,280,
Walmart Pharmacy #1568,1275 N Hermitage Rd,Hermitage,Mercer,PA,16148,Moderna Vaccine,06/29/2021,140,POINT (-80.450362 41.251142)
Rite Aid 11031,4 Ballast Lane,Stewartstown,York,PA,17363,Moderna Vaccine,06/29/2021,280,POINT (-76.589932 39.759474)
Giant Eagle Inc.,289 State Route 288,Ellwood City,Lawrence,PA,16117,Moderna Vaccine,06/29/2021,100,POINT (-80.258265 40.846381)
Giant Eagle Inc.,41 Towne Center Drive,Leechburg,Westmoreland,PA,15656,Moderna Vaccine,06/29/2021,200,POINT (-79.611167 40.608325)
Rite Aid 00443,350 Main Street,Pennsburg,Montgomery,PA,18073,Moderna Vaccine,06/29/2021,280,POINT (-75.497226 40.398741)
Walmart Pharmacy #3563,3926 Linden St,Bethlehem,Northampton,PA,18020,Moderna Vaccine,06/29/2021,140,POINT (-75.344906 40.674166)
Sam's Pharmacy #4859,200 Moraine Pointe Plz,Butler,Butler,PA,16001,Moderna Vaccine,06/29/2021,140,POINT (-79.951945 40.877804)
Rite Aid 11165,200 Kimberton Road,Phoenixville,Chester,PA,19460,Moderna Vaccine,06/29/2021,280,POINT (-75.535501 40.131689)
Giant Eagle Inc.,40 White St,Brookville,Jefferson,PA,15825,Moderna Vaccine,06/29/2021,100,POINT (-79.08416 41.159774)
Walmart Pharmacy #2365,3271 Route 940,Mount Pocono,Monroe,PA,18344,Moderna Vaccine,06/29/2021,140,POINT (-75.373005 41.123056)
Wegmans Food Markets Inc.,2000 Crossings Blvd,Lancaster,Lancaster,PA,17601,Moderna Vaccine,06/29/2021,280,POINT (-76.34046 40.05909)
Walgreens Store #07366,3300 Dekalb Pike,Norristown,Montgomery,PA,19401,Moderna Vaccine,06/29/2021,140,POINT (-75.308135 40.147932)
Wegmans Food Markets Inc.,100 Applied Bank Blvd.,Glen Mills,Delaware,PA,19342,Moderna Vaccine,06/29/2021,140,POINT (-75.541455 39.87534)
Walmart Pharmacy #1945,1169 S Main St,Mansfield,Tioga,PA,16933,Moderna Vaccine,06/29/2021,140,POINT (-77.069973 41.783288)
Walmart Pharmacy #1607,10180 Us Highway 522 S,Lewistown,Mifflin,PA,17044,Moderna Vaccine,06/29/2021,280,POINT (-77.613201 40.582887)
Giant Eagle Inc.,2501 West 12th St.,Erie,Erie,PA,16505,Moderna Vaccine,06/29/2021,100,POINT (-80.137229 42.102887)
Rite Aid 11916,4770 Mcknight Road Ste a,Pittsburgh,Allegheny,PA,15237,Moderna Vaccine,06/29/2021,280,POINT (-80.005022 40.520181)
The Giant Company Store # 6291,698 Downingtown Pike,West Chester,Chester,PA,19380,Moderna Vaccine,06/29/2021,140,POINT (-75.62212 39.961848)
The Giant Company Store # 6105,350 Scarlet Road Suite 220,Kennett Square,Chester,PA,19348,Moderna Vaccine,06/29/2021,140,POINT (-75.730148 39.840536)
Cvs Store #03617,215 Town Center Blvd.,Easton,Northampton,PA,18040,Pfizer Vaccine,06/29/2021,1170,POINT (-75.219245 40.712878)
Giant Eagle Inc.,117 S. Walnut Street,Ligonier,Westmoreland,PA,15658,Moderna Vaccine,06/29/2021,200,POINT (-79.244318 40.245944)
Rite Aid 10939,4411 Howley Street,Pittsburgh,Allegheny,PA,15224,Pfizer Vaccine,06/29/2021,1170,POINT (-79.952363 40.464385)
